"HolderAddress","Balance"
"0x5cce414a2a2d1ee44ec88729f89c49bfe9b13269",7015764410478699808
"0x8b1ea47e37a70e7feefc6a6945a4a7272a7934db",107387600729509998132
"0x0202ed9ff0d505f9b064a610199a001cef9977bd",1048936655874860069
"0xdc01f5c0300d3cdee505a04d633b71269af18421",4732035513216390044
"0x0f763341b448bb0f02370f4037fe4a2c84c9283f",74433953539737
"0xc4ca504a15c44489e084d656d30d7e1301a2323a",13820500903714100005
"0xacd1902f0c3e62c28dbfc5cbd173656485a22799",5000000000000000000
"0x8175a3a8e27d9f75f55ea3fdce58a4869a51c71f",767259016515025039
"0x8a089e873a99aa35846b5136724799c24f8e5887",1913159337853689967
"0xbcb06c4fdd61600a6b9937df2e9f1e795f2dbcc1",15246640681458000444
"0x9127ef1f1ff795e4d1d2692724e21023c79aa13f",5316936616631480206
"0xc7775192acf37eeb562dc45e022486b44a53908f",20958400029800600350
"0xd8932e0b3e10a8b32d2593cbffea81ddebc7e71b",17827388364117201291
"0x20050b4bbbbf364ae2cd4f6032c1a7e84a41561e",25397768983992802
"0xe28aef532d26cee64b058c97b555831cdd79c5f3",6074480177054740082
"0x7479f922ad4d8b0610d787ea49762307813fcbed",182
"0x8ec9ba84e478ca227dd0faaa9d6b2a0436030692",11000000000000000000
"0x3bfdcd2e206ff6c846c7ccb3cf9e46dc9ae43869",9355375117684550546
"0xcdc621ebd563b8f740602fdfdcb947abc2d3c832",123940909517424998398
"0x2b19fde5d7377b48be50a5d0a78398a496e8b15c",83494505514643
"0xbb9e6a928b47db485505e521240e07c7d19407a9",2573685723026220007
"0x1f0aa8b6962871f5d995848442ba4ae52f1a747a",10000000000000000000
"0x868c1de6700af17e395944d0b4609dc930103503",14053316684947
"0x87a4d1700688f415e17c5cb2c7e1894dee7c281f",220635512127446004
"0xd86e6502911e695406363376f718681b24906d36",10000000000000000000
"0x42108f2e86c6b5ab6d34f4ecf443606cc236709c",38074161197229699383
"0x3de16985e7c0fcbb813b3e7ec9218ab96796f60f",1317148674342520052960
"0xf7a819deba0d69c4f3567cb9fac04b05ec3a6516",1784135517079979971
"0xad67f25045f47c7960a00655912779ca136745f7",134150582992489006529
"0x01f5750b1cddac2ca23c1f91e8feb9f4fc02a652",44863698765820998915
"0x68a39c436c0ab2473a8545d436c43d4b437a5572",368066142987706013
"0x776f754c696a986226fc41a6c98a42ede8244e55",1000000000000000000
"0x3dd23255f16ca995b68fdc6a727c22c077bbc742",3941640000000000033
"0x91cd55a91c2679930df8339b12e47b05011c4e20",15599999999999999645
"0x2c8b7fb5814c878805dc09544594977af1c0c3c2",6184485596329979629
"0x90bfd1f35f84003e7873e9c759b2819dab3be27f",15599999999999999645
"0xf7adc901c921ca4eecc0f95a26aec81dacf57620",1284548280223070105
"0xcff2d6bf21e6835a144ef668809adec4b4e9c395",1
"0x52427b0035f494a21a0a4a1abe04d679f789c821",303583454581481005
